DEPT,BASEMENT,CALI,DCALI_FINAL,DTC,DTS,FLWPMPS,GR,LLD,LLM,LLS,NPHI,RHOB,ROP,RPM,TORQUE,WELL,WOB
3687.7752,0,,0.586136401,56.91774368,,461.1239929,149.9913635,733.9946289,,38.84406281,0.098774277,2.477049828,13.6203537,129,0,15-1-SN-2X,29.53656006
3687.9276,0,,0.689727664,55.0460701,,460.3619995,142.1475525,901.4646606,,46.39156342,0.107755907,2.405086756,15.43838215,129,0,15-1-SN-2X,30.99700165
3688.08,0,,0.713999748,54.6578598,,460.7999878,137.5807343,927.9246216,,47.17573929,0.117774278,2.320349217,17.94091988,129,0,15-1-SN-2X,31.29600143
3688.2324,0,,0.636610568,56.60824966,,462.1619873,137.4226685,795.9342651,,40.55688858,0.122000001,2.226141691,19.19496346,129.3240051,0,15-1-SN-2X,30.84737968
3688.3848,0,,0.488194674,58.72968674,,462.9240112,138.5977325,587.6101685,,30.60735703,0.127152234,2.154939652,21.34448242,130.8480072,0,15-1-SN-2X,30.45875931
3688.5372,0,,0.353924274,59.7698288,,467.802002,139.3721008,416.3841858,,22.65982246,0.146889776,2.154986858,17.17841148,131.6860046,0,15-1-SN-2X,26.62641907
3688.6896,0,,0.296151161,60.24956894,,467.7600098,140.6241913,336.7279663,,18.98479652,0.172133863,2.249845266,15.22133637,131.1040039,0,15-1-SN-2X,24.65703964
3688.842,0,,0.291999817,60.9476738,,464.5799866,144.250473,316.6853027,,18.17916489,0.179036737,2.400448799,19.30877495,130,0,15-1-SN-2X,24.332201
3688.9944,0,,0.288973421,61.9853096,,463.0559998,151.996872,308.8493042,,18.19797325,0.166658789,2.506060362,25.61935616,130,0,15-1-SN-2X,24.19503975
3689.1468,0,,0.279013366,61.55701065,,463,161.8502197,288.828064,,17.99889565,0.152244091,2.508787394,25.56477737,130,0,15-1-SN-2X,23.71290016
3689.2992,0,,0.283001304,60.45152664,,463.4960022,167.5738373,253.716568,,16.9525013,0.143811017,2.451049805,22.1114254,130,0,15-1-SN-2X,23.71856117
3689.4516,0,,0.283997774,59.91638947,,464.5159912,166.3807983,222.5598297,,15.42576599,0.142000005,2.390580177,16.49382973,130.5160065,0,15-1-SN-2X,24.1683197
3689.604,0,,0.236000061,59.98281097,,466.019989,161.2713928,210.1647949,,14.38081837,0.138829395,2.357829332,13.42063808,131.9799957,0,15-1-SN-2X,24.96700096
3689.7564,0,,0.149829686,59.938591,,466.7820129,155.4117279,211.716095,,14.13391876,0.12964043,2.368456602,8.608576775,131.2180023,0,15-1-SN-2X,25.99570084
3689.9088,0,,0.085085005,59.69446182,,464.8240051,150.5223541,231.8744812,,15.0964098,0.121414699,2.417364836,13.35276222,130.4559937,0,15-1-SN-2X,24.2772007
3690.0612,0,,0.055987991,59.39761734,,463,147.4360046,292.2965088,,18.73870468,0.117811024,2.476608992,16.88860321,130,0,15-1-SN-2X,18.62730026
